partner_id,client_id,first_trade_date,last_trade_date,num_trades,total_volume,total_commissions
P_0001,C_001928,2022-09-10 07:59:00,2022-09-10 07:59:00,1,18473.51,923.6754999999999
P_0001,C_001934,2022-09-10 07:42:00,2022-09-10 07:42:00,1,9321.21,466.0605
P_0001,C_001935,2022-09-10 07:43:00,2022-09-10 07:43:00,1,947.86,47.393
P_0001,C_001936,2022-09-10 07:46:00,2022-09-10 07:46:00,1,896.59,44.8295
P_0001,C_001938,2022-09-10 07:37:00,2022-09-10 07:37:00,1,17367.7,868.3850000000001
P_0001,C_001939,2022-09-10 07:42:00,2022-09-10 07:42:00,1,4317.21,215.8605
P_0001,C_001940,2022-09-10 07:58:00,2022-09-10 07:58:00,1,4547.76,227.38800000000003
P_0001,C_001942,2022-09-01 00:16:00,2022-09-01 00:16:00,1,16708.55,835.4275
P_0001,C_001945,2022-09-10 07:55:00,2022-09-10 07:55:00,1,11941.0,597.0500000000001
P_0001,C_001956,2022-09-10 07:42:00,2022-09-10 07:42:00,1,10637.99,531.8995
P_0001,C_001957,2022-09-10 07:59:00,2022-09-10 07:59:00,1,16594.74,829.7370000000001
P_0002,C_000187,2022-09-10 14:39:00,2022-09-10 14:39:00,1,5680.78,284.039
P_0002,C_000223,2022-09-09 22:13:00,2022-09-09 22:13:00,1,24118497.25,1205924.8625
P_0002,C_000585,2022-09-09 12:54:00,2022-09-09 12:54:00,1,20517.02,1025.851
P_0002,C_000775,2022-09-10 11:55:00,2022-09-10 11:55:00,1,4682.47,234.12350000000004
P_0002,C_001049,2022-09-09 10:39:00,2022-09-09 10:39:00,1,1640.89,82.04450000000001
P_0002,C_001065,2022-09-12 18:54:00,2022-09-12 18:54:00,1,16989.57,849.4785
P_0002,C_001337,2022-09-11 11:56:00,2022-09-11 11:56:00,1,26886.58,1344.3290000000002
P_0002,C_001402,2022-09-09 13:37:00,2022-09-09 13:37:00,1,17430.1,871.505
P_0002,C_001528,2022-09-09 05:45:00,2022-09-09 05:45:00,1,1113.02,55.651
P_0002,C_001707,2022-09-09 19:14:00,2022-09-09 19:14:00,1,7850.99,392.5495
P_0002,C_001849,2022-09-11 13:34:00,2022-09-11 13:34:00,1,16862.56,843.1280000000002
P_0003,C_001233,2022-09-07 16:29:00,2022-09-07 16:29:00,1,3994.32,199.716
P_0003,C_001234,2022-09-07 16:16:00,2022-09-07 16:16:00,1,4552.48,227.624
P_0003,C_001235,2022-09-07 16:25:00,2022-09-07 16:25:00,1,2474.34,123.71700000000001
P_0003,C_001236,2022-09-07 16:14:00,2022-09-07 16:14:00,1,373.1,18.655
P_0003,C_001238,2022-09-07 16:13:00,2022-09-07 16:13:00,1,298.13,14.906500000000001
P_0003,C_001239,2022-09-07 16:12:00,2022-09-07 16:12:00,1,396.52,19.826
P_0003,C_001240,2022-09-07 16:17:00,2022-09-07 16:17:00,1,6364.04,318.202
P_0003,C_001241,2022-09-07 16:21:00,2022-09-07 16:21:00,1,6431.27,321.56350000000003
P_0004,C_001988,2022-09-10 05:45:00,2022-09-10 05:45:00,1,787.23,39.36150000000001
P_0004,C_001989,2022-09-10 05:49:00,2022-09-10 05:49:00,1,2871.4,143.57000000000002
P_0004,C_001990,2022-09-10 05:54:00,2022-09-10 05:54:00,1,1727.63,86.38150000000002
P_0004,C_001991,2022-09-10 05:57:00,2022-09-10 05:57:00,1,3393.82,169.69100000000003
P_0004,C_001992,2022-09-10 05:52:00,2022-09-10 05:52:00,1,175.17,8.7585
P_0004,C_001993,2022-09-10 05:40:00,2022-09-10 05:40:00,1,593.51,29.6755
P_0004,C_001994,2022-09-10 05:36:00,2022-09-10 05:36:00,1,2696.46,134.823
P_0004,C_001995,2022-09-01 21:07:00,2022-09-01 21:07:00,1,21.24,1.062
P_0005,C_000015,2022-09-06 14:21:00,2022-09-06 14:21:00,1,806.09,40.304500000000004
P_0005,C_000019,2022-09-08 18:48:00,2022-09-08 18:48:00,1,3220.99,161.0495
P_0005,C_001910,2022-09-08 10:24:00,2022-09-08 10:24:00,1,13896.06,694.803
P_0005,C_001923,2022-09-15 04:10:00,2022-09-15 04:10:00,1,27266.38,1363.3190000000002
P_0005,C_001958,2022-09-08 12:53:00,2022-09-08 12:53:00,1,32305.96,1615.298
P_0005,C_001961,2022-09-07 13:56:00,2022-09-07 13:56:00,1,31930.65,1596.5325000000003
P_0005,C_002157,2022-09-10 19:56:00,2022-09-10 19:56:00,1,14803.58,740.1790000000001
P_0006,C_001113,2022-09-10 08:24:00,2022-09-10 08:24:00,1,3813.28,190.66400000000002
P_0006,C_001115,2022-09-10 08:05:00,2022-09-10 08:05:00,1,2873.97,143.6985
P_0006,C_001124,2022-09-10 08:04:00,2022-09-10 08:04:00,1,3028.84,151.442
P_0006,C_001126,2022-09-10 08:14:00,2022-09-10 08:14:00,1,2968.83,148.4415
P_0006,C_001127,2022-09-10 08:28:00,2022-09-10 08:28:00,1,2004.63,100.23150000000001
P_0006,C_001128,2022-09-10 08:12:00,2022-09-10 08:12:00,1,1934.24,96.712
P_0006,C_001129,2022-09-10 08:04:00,2022-09-10 08:04:00,1,3782.86,189.14300000000003
P_0007,C_000130,2022-09-07 10:04:00,2022-09-07 10:04:00,1,12285.54,614.277
P_0007,C_000197,2022-09-04 09:07:00,2022-09-04 09:07:00,1,19882.22,994.1110000000001
P_0007,C_000295,2022-09-03 16:10:00,2022-09-03 16:10:00,1,19370.62,968.531
P_0007,C_000311,2022-09-06 16:36:00,2022-09-06 16:36:00,1,19195.0,959.75
P_0007,C_000575,2022-09-04 11:01:00,2022-09-04 11:01:00,1,12617.24,630.8620000000001
P_0007,C_000664,2022-09-02 02:56:00,2022-09-02 02:56:00,1,15305.3,765.265
P_0007,C_000772,2022-09-03 19:59:00,2022-09-03 19:59:00,1,7209.64,360.482
P_0007,C_000866,2022-09-07 01:41:00,2022-09-07 01:41:00,1,16820.79,841.0395000000001
P_0007,C_001051,2022-09-04 15:32:00,2022-09-04 15:32:00,1,9884.38,494.219
P_0007,C_001366,2022-09-04 03:47:00,2022-09-04 03:47:00,1,14593.67,729.6835000000001
P_0007,C_001663,2022-09-05 15:45:00,2022-09-05 15:45:00,1,4705.67,235.2835
P_0007,C_001679,2022-09-05 16:34:00,2022-09-05 16:34:00,1,190.93,9.5465
P_0007,C_001704,2022-09-07 12:17:00,2022-09-07 12:17:00,1,3570.76,178.538
P_0007,C_001804,2022-09-04 15:24:00,2022-09-04 15:24:00,1,19717232.44,985861.6220000001
P_0008,C_001711,2022-09-01 18:49:00,2022-09-01 18:49:00,1,2132.12,106.606
P_0008,C_001712,2022-09-01 18:44:00,2022-09-01 18:44:00,1,4126.33,206.31650000000002
P_0008,C_001713,2022-09-01 18:45:00,2022-09-01 18:45:00,1,29177.07,1458.8535000000002
P_0008,C_001714,2022-09-01 18:44:00,2022-09-01 18:44:00,1,3405.47,170.2735
P_0008,C_001715,2022-09-01 18:34:00,2022-09-01 18:34:00,1,3396.24,169.812
P_0008,C_001716,2022-09-01 18:56:00,2022-09-01 18:56:00,1,1234.09,61.704499999999996
P_0008,C_001719,2022-09-01 18:50:00,2022-09-01 18:50:00,1,2867.13,143.3565
P_0008,C_001720,2022-09-01 18:40:00,2022-09-01 18:40:00,1,3554.22,177.711
P_0009,C_000105,2022-09-10 17:06:00,2022-09-10 17:06:00,1,13313.45,665.6725000000001
P_0009,C_000135,2022-09-11 04:04:00,2022-09-11 04:04:00,1,15214.2,760.71
P_0009,C_000207,2022-09-10 21:37:00,2022-09-10 21:37:00,1,16389.14,819.457
P_0009,C_000256,2022-09-09 18:10:00,2022-09-09 18:10:00,1,20898.98,1044.949
P_0009,C_000278,2022-09-12 03:52:00,2022-09-12 03:52:00,1,5500.55,275.02750000000003
P_0009,C_000518,2022-09-10 20:38:00,2022-09-10 20:38:00,1,13811.55,690.5775
P_0009,C_000554,2022-09-11 08:05:00,2022-09-11 08:05:00,1,15291.64,764.582
P_0009,C_000562,2022-09-11 15:35:00,2022-09-11 15:35:00,1,5182.98,259.149
P_0009,C_000753,2022-09-10 02:16:00,2022-09-10 02:16:00,1,15254.39,762.7195
P_0009,C_000780,2022-09-11 14:56:00,2022-09-11 14:56:00,1,1608.55,80.42750000000001
P_0009,C_000829,2022-09-11 11:39:00,2022-09-11 11:39:00,1,6370.0,318.5
P_0009,C_000964,2022-09-11 13:05:00,2022-09-11 13:05:00,1,1845.05,92.2525
P_0009,C_001007,2022-09-11 18:27:00,2022-09-11 18:27:00,1,20182.57,1009.1285
P_0010,C_000140,2022-09-12 16:24:00,2022-09-12 16:24:00,1,13188.16,659.408
P_0010,C_000266,2022-09-09 19:28:00,2022-09-09 19:28:00,1,11136.67,556.8335000000001
P_0010,C_000431,2022-09-13 01:08:00,2022-09-13 01:08:00,1,9193.65,459.6825
P_0010,C_000504,2022-09-13 15:03:00,2022-09-13 15:03:00,1,14195.02,709.7510000000001
P_0010,C_000510,2022-09-01 16:19:00,2022-09-08 05:24:00,4,2305.06,115.253
P_0010,C_000531,2022-09-01 07:20:00,2022-09-01 07:20:00,1,11430.04,571.5020000000001
P_0010,C_000606,2022-09-10 11:02:00,2022-09-10 11:02:00,1,3298.25,164.91250000000002
P_0010,C_000695,2022-09-13 08:49:00,2022-09-13 08:49:00,1,11252.9,562.645
P_0010,C_000751,2022-09-13 10:06:00,2022-09-13 10:06:00,1,10394.61,519.7305
